name,class,level,power,price,date
E丶Lady Júúh,taoist,135,315764,3050,2025-06-02
tt' ジ,sorcerer,152,369027,2800,2025-06-02
Para1b1nh4,warrior,75,106982,280,2025-06-02
pinguinha88,sorcerer,154,414522,7645,2025-06-02
Kengassa 彡,arbalist,148,368492,2025,2025-06-02
SC Gunz,arbalist,144,316425,950,2025-06-02
弹力 Carioca,warrior,145,335133,2000,2025-06-02
・k u z・,warrior,147,362226,1900,2025-06-02
l3OOS Mateo,warrior,134,318606,650,2025-06-02
乄九天丶玄屹,taoist,151,401380,4599,2025-06-02
0xFeli,lancer,90,135288,65,2025-06-02
奇迹 g,taoist,134,266872,250,2025-06-02
BSEJ,darkist,101,136786,70,2025-06-02
Ayato07,arbalist,137,272897,370,2025-06-02
corintianoYT,lancer,150,383788,3400,2025-06-02
SяKINA,arbalist,131,255734,350,2025-06-02
UnliMan29,warrior,134,273812,350,2025-06-02
亗 YzaBB 亗,arbalist,152,368977,1585,2025-06-02
DazzLé ヅ,arbalist,157,422160,5200,2025-06-02
DracoHells,taoist,130,281248,566,2025-06-02
恶魔・ADMIRAL,lancer,147,345038,1111,2025-06-02
Serra キ,taoist,145,358018,2300,2025-06-02
1610codex,lancer,155,438851,15000,2025-06-02
名门 Yshaa,arbalist,154,393547,3100,2025-06-02
LUCKY 亗,taoist,121,216067,200,2025-06-02
Karam ッ,sorcerer,150,345404,1950,2025-06-02
VN丶C卄єcҜєя,arbalist,145,362893,1777,2025-06-02
Lin YunXiâo,warrior,137,336413,1399,2025-06-02
PAREDE 亗,taoist,120,336327,2700,2025-06-02
nogdotes,arbalist,140,311745,650,2025-06-02
テ Shinjicoin,arbalist,151,375684,3850,2025-06-02
Moz1kA ッ,arbalist,146,364706,1800,2025-06-02
Allathius,warrior,133,251657,199,2025-06-02
Pbert,warrior,132,295836,369,2025-06-02
父Murayama父,lancer,133,251736,500,2025-06-02
Wt4GlT2trade,lancer,146,368409,5900,2025-06-02
말살자ASTRA,warrior,142,403337,3500,2025-06-02
Jobz ヅ,sorcerer,142,349011,2100,2025-06-02
CasDark,sorcerer,143,358987,1150,2025-06-02
・키아나・,taoist,131,291199,560,2025-06-02
恶魔・ADMIRAL,lancer,147,345038,1111,2025-06-02
Serra キ,taoist,145,358018,2300,2025-06-02
